ID,Date,Element,Data_Value
USW00094889,11/12/2014,TMAX,22
USC00208972,4/29/2009,TMIN,56
USC00200032,5/26/2008,TMAX,278
USC00205563,11/11/2005,TMAX,139
USC00200230,2/27/2014,TMAX,-106
USW00014833,10/1/2010,TMAX,194
USC00207308,6/29/2010,TMIN,144
USC00203712,10/4/2005,TMAX,289
USW00004848,12/14/2007,TMIN,-16
USC00200220,4/21/2011,TMAX,72
USC00205822,1/16/2013,TMAX,11
USC00205822,5/29/2008,TMIN,28
USC00203712,10/17/2008,TMIN,17
USC00205563,5/14/2006,TMAX,183
USC00200842,5/14/2006,TMAX,122
USC00205563,12/7/2014,TMAX,67
USC00205822,9/7/2008,TMAX,250
USC00205450,4/22/2006,TMIN,67
USC00203712,2/22/2008,TMAX,-44
USC00205563,1/3/2015,TMIN,-39
USC00201250,3/28/2011,TMIN,-78
USC00200230,2/10/2008,TMAX,-6
USC00207320,2/3/2008,TMIN,-39
USC00200228,2/23/2008,TMAX,11
USC00201250,3/20/2012,TMIN,100
USC00205822,3/29/2006,TMIN,-17
USC00202308,5/11/2006,TMAX,233
USW00014833,3/31/2012,TMAX,61
USW00014853,7/25/2010,TMAX,283
USC00205822,12/9/2014,TMIN,17
USC00203712,3/17/2015,TMAX,189
USC00205050,3/20/2012,TMIN,94
USW00094889,8/4/2007,TMIN,161
USC00202308,7/24/2010,TMIN,222
USC00200032,6/6/2015,TMIN,128
USC00203712,8/23/2013,TMAX,267
USC00200230,5/26/2008,TMAX,306
USC00200842,8/6/2005,TMIN,150
USC00205563,1/19/2010,TMIN,-28
USC00205822,6/26/2012,TMIN,89
USC00200842,10/26/2010,TMIN,144
USC00208202,11/12/2014,TMIN,0
USC00203712,8/23/2013,TMIN,128
USC00205050,1/19/2010,TMAX,17
USC00208972,2/27/2013,TMIN,-106
USC00200230,2/10/2008,TMIN,-172
USW00014833,8/30/2015,TMIN,178
USC00208080,12/14/2007,TMAX,6
USC00200842,5/14/2006,TMIN,72
